00:00,83,42,2,163,8
00:06,3,20,2,249,8
00:13,49,75,2,131,8
00:20,95,59,2,116,4
00:26,36,50,1,165,8
00:33,63,87,1,63,4
00:40,76,70,3,231,8
00:46,74,88,1,32,4
00:53,103,79,1,151,8
01:00,45,31,1,157,2
01:06,95,32,1,375,4
01:13,81,33,1,66,8
01:20,53,40,3,195,1
01:26,50,39,3,58,2
01:33,89,83,3,292,4
01:40,143,82,1,158,8
01:46,65,96,3,293,8
01:53,74,48,31,314,2
02:00,74,43,1,102,2
02:05,99,17,1,283,24
02:10,41,51,1,49,24
02:15,106,63,2,134,8
02:20,136,31,1,33,8
02:26,64,61,1,317,8
02:31,76,57,1,210,4
02:36,117,59,1,131,8
02:41,52,71,1,398,4
02:46,102,65,2,240,8
02:52,79,70,2,350,4
02:57,97,80,2,352,8
03:02,67,47,1,64,2
03:07,54,47,2,212,4
03:13,99,7,2,3,8
03:18,55,36,1,201,1
03:23,48,44,2,93,2
03:28,66,81,1,89,4
03:33,125,1,2,128,8
03:39,117,10,1,386,8
03:44,59,30,1,396,1
03:49,65,43,1,138,2
03:54,28,46,33,394,24
04:00,58,48,1,140,2
04:02,104,91,1,42,8
04:04,1,93,2,198,8
04:07,81,79,1,215,8
04:09,79,70,1,56,4
04:11,17,22,1,83,8
04:14,74,56,1,120,4
04:16,116,1,2,358,8
04:18,64,64,1,229,4
04:21,144,45,1,193,8
04:23,60,40,2,106,2
04:25,86,79,1,359,4
04:28,144,93,1,102,8
04:30,49,33,1,291,1
04:32,74,42,2,46,2
04:35,54,78,2,158,4
04:37,111,64,2,168,8
04:39,147,24,2,391,8
04:42,61,41,2,80,4
04:44,88,36,1,382,4
04:46,68,85,1,85,4
04:49,46,7,1,147,8
04:51,123,78,2,83,8
04:54,143,68,1,82,8
04:56,82,43,2,20,4
04:58,89,44,1,29,8
05:01,70,78,2,255,4
05:03,1,88,1,263,8
05:05,46,74,2,270,4
05:08,76,9,2,209,8
05:10,55,59,1,322,2
05:12,47,51,1,66,4
05:15,123,17,1,166,8
05:17,47,44,2,335,1
05:19,47,55,1,162,2
05:22,87,54,2,378,4
05:24,10,91,1,4,8
05:26,49,39,2,67,1
05:29,57,42,1,13,2
05:31,94,94,1,354,8
05:33,1,8,2,23,8
05:36,123,12,2,297,8
05:38,63,52,2,189,8
05:41,18,70,2,8,8
05:43,95,73,2,122,4
05:45,145,9,2,103,8
05:48,58,33,1,249,4
05:50,126,48,1,162,8
05:52,92,44,2,286,4
05:55,56,23,2,26,8
05:57,19,51,52,34,24
06:00,72,46,2,183,2
06:01,53,69,1,325,4
06:02,46,17,1,145,8
06:03,47,41,2,216,1
06:04,71,53,1,80,2
06:06,49,78,1,274,4
06:07,15,19,1,374,8
06:08,70,31,2,371,2
06:09,87,26,2,9,8
06:10,52,33,2,375,1
06:12,47,5,1,363,24
06:13,49,21,1,397,8
06:14,75,19,2,72,8
06:15,146,81,2,388,8
06:16,79,44,1,354,4
06:18,96,86,1,82,8
06:19,59,57,2,8,4
06:20,115,34,2,75,8
06:21,75,88,1,120,4
06:22,56,7,2,224,8
06:24,50,48,2,305,2
06:25,62,82,1,264,4
06:26,71,32,2,61,8
06:27,56,40,1,338,1
06:29,49,32,1,245,2
06:30,83,62,1,375,4
06:31,21,36,2,167,8
06:32,47,37,1,31,1
06:33,58,54,2,199,4
06:35,7,45,2,268,24
06:36,111,32,1,306,8
06:37,57,86,1,388,8
06:38,126,57,1,99,8
06:39,14,1,1,99,8
06:41,100,41,1,190,4
06:42,55,74,2,361,8
06:43,99,55,1,107,4
06:44,18,47,1,285,8
06:45,76,33,2,206,4
06:47,82,49,1,156,8
06:48,57,38,1,136,2
06:49,45,63,1,167,4
06:50,123,3,1,212,8
06:52,51,44,1,179,1
